episode,eval_metric
10,5.85
20,5.66
30,6.1
40,5.67
50,5.74
60,6.37
70,5.49
80,6.13
90,5.14
100,5.37
110,7.03
120,9.49
130,21.79
140,21.76
150,24.15
160,23.99
170,23.92
180,23.34
190,25.0
200,25.19
210,26.21
220,25.93
230,25.82
240,25.74
250,25.23
260,25.52
270,26.65
280,24.14
290,25.07
300,24.96
310,23.76
320,24.32
330,24.94
340,25.76
350,26.47
360,25.54
370,25.89
380,26.41
390,25.97
400,25.44
410,27.06
420,27.33
430,26.37
440,27.0
450,26.92
460,25.92
470,26.85
480,27.84
490,26.32
500,27.8
510,26.77
520,27.1
530,27.05
540,28.23
550,27.49
560,28.07
570,26.65
580,28.97
590,28.49
600,27.36
610,28.55
620,25.77
630,27.05
640,28.23
650,27.88
660,28.92
670,27.84
680,27.76
690,27.69
700,28.36
710,28.8
720,28.69
730,28.21
740,28.89
750,27.72
760,27.71
770,28.6
780,27.59
790,27.85
800,27.88
810,29.46
820,27.97
830,28.38
840,27.96
850,28.65
860,26.86
870,29.18
880,29.57
890,28.12
900,28.95
910,29.17
920,28.04
930,28.76
940,29.34
950,28.39
960,28.85
970,30.03
980,29.08
990,28.99
1000,28.96
